path,classification,target_path,rule_id,rationale,mode,size_bytes,git_blob_sha1,sha256
.gitattributes,RETAIN_ACTIVE,.gitattributes,R0C-ROOT-GENERAL,Repository-level control or contribution file remains valid for the v2 foundation.,100644,45,3cef842a99a0d9c635e5f32ca47dba54d8db0217,eb9e5f3f65a8cdb730b3646828a5dae4fbc0c62e4121a8f1e2b3b5dc69d58763
.github/workflows/tests.yml,RETAIN_ACTIVE,.github/workflows/tests.yml,R0C-GITHUB-CONTROL,Repository automation remains active unless separately superseded by a reviewed workflow change.,100644,340,4745ba0cd12774a80ba5a1b2772458e5ab8fc43a,16000e69d2db7f52118df0bd5918af179cdde6d2b7b6f953da20a86ec5159f30
.gitignore,RETAIN_ACTIVE,.gitignore,R0C-ROOT-GENERAL,Repository-level control or contribution file remains valid for the v2 foundation.,100644,523,daec39b15b0a52c63470b21b93cd1f3eaab68155,6f5b6cd698750f17770aa332008dd2af060bac1e4f731b1033c6e7fc91f682d6
CONTRIBUTING.md,RETAIN_ACTIVE,CONTRIBUTING.md,R0C-ROOT-GENERAL,Repository-level control or contribution file remains valid for the v2 foundation.,100644,656,6343bd9b8e882073cd52746956168c600e7d1d3e,2db16e2d4aad42957ffa704b812392a0a551b104c0d656c838efda1aab9032d1
README.md,REBUILD_V2,README.md,R0C-ROOT-SEMANTIC,Active repository metadata must be rewritten to describe the v2 discovery foundation.,100644,3931,a7e37c513534f240f6042a3541feb92370998f42,a7af22ca691a29dd9ab72fcaca1b85e158ddc765b3cf791941a1c4c202d74ccf
artifacts/README.md,RETAIN_ACTIVE,artifacts/README.md,R0C-EVIDENCE-BOUNDARY,Evidence-store or Git/external-artifact boundary documentation remains authoritative infrastructure.,100644,1002,6143850919deadbefa3a60aab549f1864864b2df,2840f1a4bc773d88cc072e130170d0e6ed7c25ba970737931af0e4c9427d76bb
contracts/B_STATE_0_3A_OPERATOR_REVIEW_CHECKLIST.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/B_STATE_0_3A_OPERATOR_REVIEW_CHECKLIST.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,1291,e79173f1b9f2db890e42135610ab9dab9ee069bb,cdfd11165c6a893b75969d389ac1ccad7fb6a83ccf7e8b665656d434e654668f
contracts/B_STATE_0_3A_REPRESENTATION_RATIFICATION_RECORD.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/B_STATE_0_3A_REPRESENTATION_RATIFICATION_RECORD.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,1605,92997e81866989ab99310b4c676389fb3d7efa2d,2aba7c8c67ee0eecdb577df6cfd9ff8a2e2e2c611e771cfa1f8d22fd490a13c9
contracts/B_STATE_0_3B_OPERATOR_REVIEW_CHECKLIST.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/B_STATE_0_3B_OPERATOR_REVIEW_CHECKLIST.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,959,df68fb4c27ea81466322aab5030642811f685f33,fefeefab5bbfaaba1bca6836f802fb3f2fac539896d9101122b7d85edcdda790
contracts/B_STATE_0_3B_RATIFICATION_RECORD.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/B_STATE_0_3B_RATIFICATION_RECORD.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,1702,e7cc9316c399a04107028b0c74ed43948e9f6a9d,d6a348a4294f1d75e9163e0d37f9f522e89e011f040d07a0e5dfdee1ffcd2c2f
contracts/B_STATE_0_3_OPERATOR_REVIEW_CHECKLIST.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/B_STATE_0_3_OPERATOR_REVIEW_CHECKLIST.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,1345,8dac6f7aa54be61f1df0c8f1ae304c5e09ac5355,e6c732d8cf8dfead85d540eda8dfe4000da99fc104d537cab241de4d69e7c489
contracts/OPT_C_MEASURE_0_1_1_FRONTIER_NULLABILITY_REPAIR_RECORD.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OPT_C_MEASURE_0_1_1_FRONTIER_NULLABILITY_REPAIR_RECORD.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,733,6bc8fdd84cb36d2540d0219b636095d165ba095b,a9dd18e88a545f44c4746b1696ec3aaa050fe0eadb92093f6060f8c7d2b36c0b
contracts/OPT_C_OUTCOME_0_1_APPROVAL_RECORD.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OPT_C_OUTCOME_0_1_APPROVAL_RECORD.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,907,b91872bfbf68a42bed683be9ed19572600cce2fa,0912d090ec6629709134d1953fef222860973b218df666e2239353aabc8bac1d
contracts/OPT_D_REVIEW_OPERATOR_RATIFICATION_CHECKLIST_v0_1.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OPT_D_REVIEW_OPERATOR_RATIFICATION_CHECKLIST_v0_1.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,1372,578116f65f8e126c0d89227ab1b490827932f168,aa9d48840e9e828e8d24926c0d9fc732f91451b9d8474d09419a37b75e967de9
contracts/OVC_OPT_B_ACCEPTANCE_FRONTIER_SEMANTIC_REVIEW_CONTRACT_v0_3b.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OVC_OPT_B_ACCEPTANCE_FRONTIER_SEMANTIC_REVIEW_CONTRACT_v0_3b.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,1619,e9618b55b7e2d51df40db6b5ee96cbe5648c4e01,bf7aec7fa3e777173bcd3f7059d26a7108a264f5e5165c714668716ded42489f
contracts/OVC_OPT_B_ACCEPTANCE_FRONTIER_STATE_CONTRACT_v0_3b.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OVC_OPT_B_ACCEPTANCE_FRONTIER_STATE_CONTRACT_v0_3b.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,2285,14a1e52d5cbbd853462c4d41067b478eaab79927,ae39b9c8e7c90cc936508ba03f2b49620206d41bf80ac7815d0e4ce91d889606
contracts/OVC_OPT_B_ACCEPTANCE_RELATION_INVENTORY_CONTRACT_v0_3a.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OVC_OPT_B_ACCEPTANCE_RELATION_INVENTORY_CONTRACT_v0_3a.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,3071,d202ef3524e91aeb923578fc18983ab5bca2af80,d0673a29c8e871e5a93e2df1b7b49f2e5a80a888fd06bd7caf61cf6895a545be
contracts/OVC_OPT_B_COMPLETE_REPLAY_INPUT_REPAIR_RECORD.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OVC_OPT_B_COMPLETE_REPLAY_INPUT_REPAIR_RECORD.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,1582,a7246d5fb99d303375d05e4d16ccf6bcdeb90f16,1f4f9faecb4a8453717306c4524f3559f1f6f38e9dc4ac6323833b5613ef2c02
contracts/OVC_OPT_B_PARALLEL_AXIS_STATE_CONTRACT_v0_3.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OVC_OPT_B_PARALLEL_AXIS_STATE_CONTRACT_v0_3.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,3367,5e5aef9f8f9b48289eec1ac749768a48bdf7232d,720a0458e6f7bdde4a082430056c65d8027a46e47fe6eb6782cbfd130c0be40d
contracts/OVC_OPT_C_FORWARD_PATH_COVERAGE_CENSORING_CONTRACT_v0_1.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OVC_OPT_C_FORWARD_PATH_COVERAGE_CENSORING_CONTRACT_v0_1.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,1738,7cfa2a1cc1196eca24afac56fd98dcef4a087bd3,73f6f5ffb8efe1a963aa293ed608437d3ae5bb89dba04bd2f758c940d3fc4180
contracts/OVC_OPT_C_NEUTRAL_FORWARD_OUTCOME_CONTRACT_v0_1.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OVC_OPT_C_NEUTRAL_FORWARD_OUTCOME_CONTRACT_v0_1.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,3321,32018f8e543ebff8ed8928e6a7e48212f3f7e978,0285bcd4e52e48d9ac54d8c8644cd09307424e63736cd366fbdd1262ee979a13
contracts/OVC_OPT_C_NEUTRAL_MEASUREMENT_IMPLEMENTATION_CONTRACT_v0_1.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OVC_OPT_C_NEUTRAL_MEASUREMENT_IMPLEMENTATION_CONTRACT_v0_1.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,2253,e764441409cea88770e20bfeb9665313643003f4,9eb4e3a51f500519703af161a737063071bcd0a1d2f549a507b3d85f84c06fdf
contracts/OVC_OPT_C_NEUTRAL_MEASUREMENT_IMPLEMENTATION_CONTRACT_v0_1_1.md,MOVE_TO_QUARANTINE,legacy/quarantine/abcd-engine-v1-c0ad7ba/contracts/OVC_OPT_C_NEUTRAL_MEASUREMENT_IMPLEMENTATION_CONTRACT_v0_1_1.md,R0C-LEGACY-CONTRACT,Current contracts encode the superseded mixed ABCD authority and must leave the active contract namespace.,100644,1279,438780ac35491912fff7b1dd868b31c8802ee660,946aaf21d7816b1d2e9195d39c2d4d81d0890cf0d764ad2cfb2a72c2ce9776ba
